# schema_version=growth_dislocation_universe.v2
# SPY holdings=As of 18-Aug-2026; source=https://www.ssga.com/library-content/products/fund-data/etfs/us/holdings-daily-us-en-spy.xlsx
# NDX retrieved_at=2026-08-20; source=https://www.nasdaq.com/products/global-indexes/nasdaq-100/companies
# IWM holdings=Aug 18, 2026; source=https://www.ishares.com/us/products/239710/ishares-russell-2000-etf/latest-holdings.csv
# classification=subindustry unavailable from official holdings; sector used as the explicit crowding fallback
# growth_theme=curated issuer-level optionality taxonomy; blank is not a negative sector judgment
symbol,provider_symbol,company,sector,subindustry,classification_level,sector_benchmark,memberships,growth_theme
ADSK,ADSK,AUTODESK INC,Technology,Technology,sector,XLK,NDX|SPY
ADTN,ADTN,ADTRAN HOLDINGS INC,Information Technology,Information Technology,sector,IWM,IWM
ADUS,ADUS,ADDUS HOMECARE CORP,Health Care,Health Care,sector,XLV,IWM
ADV,ADV,ADVANTAGE SOLUTIONS CLASS A,Communication,Communication,sector,XLC,IWM
AEBI,AEBI,AEBI SCHMIDT HOLDING AG,Industrials,Industrials,sector,XLI,IWM
AEE,AEE,AMEREN CORPORATION,Utilities,Utilities,sector,XLU,SPY
AEHR,AEHR,AEHR TEST SYSTEMS,Information Technology,Information Technology,sector,IWM,IWM
AEO,AEO,AMERICAN EAGLE OUTFITTERS,Consumer Discretionary,Consumer Discretionary,sector,XLY,IWM
AEP,AEP,AMERICAN ELECTRIC POWER,Utilities,Utilities,sector,XLU,NDX|SPY
AES,AES,AES CORP,Utilities,Utilities,sector,XLU,SPY
AESI,AESI,ATLAS ENERGY SOLUTIONS,Energy,Energy,sector,XLE,IWM
AEVA,AEVA,AEVA TECHNOLOGIES INC,Information Technology,Information Technology,sector,IWM,IWM
AFL,AFL,AFLAC INC,Financials,Financials,sector,XLF,SPY
AFRI,AFRI,FORAFRIC GLOBAL PLC,Consumer Staples,Consumer Staples,sector,XLP,IWM
AGEN,AGEN,AGENUS INC,Health Care,Health Care,sector,XLV,IWM
AGIO,AGIO,AGIOS PHARMACEUTICALS,Health Care,Health Care,sector,XLV,IWM
AGL,AGL,AGILON HEALTH,Health Care,Health Care,sector,XLV,IWM
AGM,AGM,FEDERAL AGRICULTURAL MORTGAGE NON,Financials,Financials,sector,XLF,IWM
AGNT,AGNT,AGNT INC,Real Estate,Real Estate,sector,XLRE,IWM
AGX,AGX,ARGAN,Industrials,Industrials,sector,XLI,IWM
AGYS,AGYS,AGILYSYS INC,Information Technology,Information Technology,sector,IWM,IWM
AHCO,AHCO,ADAPTHEALTH,Health Care,Health Care,sector,XLV,IWM
AHRT,AHRT,AH REALTY INC,Real Estate,Real Estate,sector,XLRE,IWM
AI,AI,C3 AI INC CLASS A,Information Technology,Information Technology,sector,IWM,IWM
AIG,AIG,AMERICAN INTERNATIONAL GROUP,Financials,Financials,sector,XLF,SPY
AII,AII,AMERICAN INTEGRITY INSURANCE GROUP,Financials,Financials,sector,XLF,IWM
AIN,AIN,ALBANY INTERNATIONAL CORP CLASS A,Industrials,Industrials,sector,XLI,IWM
AIOT,AIOT,POWERFLEET,Information Technology,Information Technology,sector,IWM,IWM
AIP,AIP,ARTERIS INC,Information Technology,Information Technology,sector,IWM,IWM
AIR,AIR,AAR,Industrials,Industrials,sector,XLI,IWM
AIRJ,AIRJ,AIRJOULE TECHNOLOGIES CLASS A,Industrials,Industrials,sector,XLI,IWM
AIRO,AIRO,AIRO GROUP HOLDINGS INC,Industrials,Industrials,sector,XLI,IWM
AIRS,AIRS,AIRSCULPT TECHNOLOGIES INC,Health Care,Health Care,sector,XLV,IWM
AIZ,AIZ,ASSURANT INC,Financials,Financials,sector,XLF,SPY
AJG,AJG,ARTHUR J GALLAGHER + CO,Financials,Financials,sector,XLF,SPY
AKAM,AKAM,AKAMAI TECHNOLOGIES INC,Technology,Technology,sector,XLK,SPY
AKBA,AKBA,AKEBIA THERAPEUTICS INC,Health Care,Health Care,sector,XLV,IWM
AKE,AKE,AKERO THERAPEUTICS CVR,Health Care,Health Care,sector,XLV,IWM
AKR,AKR,ACADIA REALTY TRUST REIT,Real Estate,Real Estate,sector,XLRE,IWM
AKTS,AKTS,AKTIS ONCOLOGY INC,Health Care,Health Care,sector,XLV,IWM
ALAB,ALAB,"Astera Labs, Inc. Common Stock",Unknown,Unknown,fallback,QQQ,NDX
ALB,ALB,ALBEMARLE CORP,Materials,Materials,sector,XLB,SPY
ALCO,ALCO,ALICO INC,Consumer Staples,Consumer Staples,sector,XLP,IWM
ALEC,ALEC,ALECTOR,Health Care,Health Care,sector,XLV,IWM
ALG,ALG,ALAMO GROUP,Industrials,Industrials,sector,XLI,IWM
ALGN,ALGN,ALIGN TECHNOLOGY INC,Health Care,Health Care,sector,XLV,SPY
ALGT,ALGT,ALLEGIANT TRAVEL,Industrials,Industrials,sector,XLI,IWM
ALH,ALH,ALLIANCE LAUNDRY HOLDINGS,Industrials,Industrials,sector,XLI,IWM
ALHC,ALHC,ALIGNMENT HEALTHCARE,Health Care,Health Care,sector,XLV,IWM
